Возраст,Пол,Доход_тыс,Образование,Населенный_пункт,Количество_детей,Занятость
40,Женский,66.5,Среднее специальное,Город,4,Работает
45,Женский,81.9,Среднее специальное,Село,2,Пенсионер
38,Мужской,30.6,Среднее специальное,Город,1,Работает
42,Женский,58.5,Высшее,Город,1,Работает
52,Женский,49.0,Среднее,Город,1,Пенсионер
40,Мужской,48.4,Среднее,Село,0,Работает
50,Женский,94.7,Магистратура,Город,3,Работает
37,Мужской,26.0,Среднее,Город,2,Работает
48,Женский,57.8,Высшее,Город,0,Работает
55,Мужской,64.5,Высшее,Город,5,Пенсионер
27,Женский,59.8,Среднее специальное,Город,0,Работает
39,Женский,51.0,Высшее,Город,1,Работает
49,Мужской,59.1,Среднее специальное,Село,3,Пенсионер
43,Мужской,45.6,Высшее,Город,1,Работает
47,Женский,57.5,Среднее специальное,Город,2,Студент
40,Мужской,44.9,Высшее,Город,2,Студент
45,Мужской,61.8,Среднее,Город,1,Работает
43,Мужской,46.0,Высшее,Село,3,Работает
53,Мужской,62.2,Среднее,Село,1,Безработный
46,Женский,52.6,Среднее специальное,Город,2,Работает
47,Женский,70.4,Среднее специальное,Село,2,Работает
42,Мужской,50.2,Среднее,Село,2,Безработный
41,Мужской,23.9,Высшее,Село,0,Работает
41,Мужской,69.4,Среднее специальное,Город,1,Пенсионер
47,Мужской,39.9,Магистратура,Село,4,Работает
42,Женский,41.2,Магистратура,Город,0,Работает
47,Женский,44.6,Высшее,Город,1,Работает
59,Мужской,80.1,Среднее,Город,0,Студент
51,Мужской,23.5,Среднее специальное,Город,2,Безработный
42,Мужской,98.1,Высшее,Город,4,Пенсионер
53,Женский,72.3,Среднее специальное,Город,3,Работает
42,Мужской,54.3,Среднее,Город,0,Работает
30,Женский,44.2,Высшее,Село,1,Работает
37,Мужской,52.8,Высшее,Село,0,Работает
31,Женский,53.3,Высшее,Город,1,Работает
42,Мужской,60.7,Среднее,Село,3,Работает
45,Женский,60.8,Высшее,Село,0,Работает
56,Мужской,59.3,Среднее специальное,Село,3,Студент
47,Мужской,50.5,Среднее специальное,Город,2,Работает
43,Мужской,49.2,Магистратура,Город,2,Студент
50,Женский,52.1,Среднее специальное,Село,1,Работает
29,Мужской,61.5,Среднее специальное,Город,2,Работает
46,Женский,61.9,Среднее,Город,1,Работает
50,Женский,15.0,Магистратура,Город,1,Работает
34,Мужской,56.8,Высшее,Город,5,Работает
53,Мужской,59.4,Высшее,Город,2,Работает
47,Мужской,53.2,Высшее,Город,1,Работает
42,Женский,45.2,Среднее,Город,2,Безработный
49,Мужской,71.4,Среднее специальное,Село,0,Безработный
60,Женский,74.2,Среднее специальное,Село,0,Пенсионер
46,Женский,41.4,Среднее,Город,2,Работает
46,Мужской,59.1,Среднее специальное,Село,2,Работает
41,Мужской,35.9,Магистратура,Город,1,Работает
39,Мужской,28.8,Среднее,Город,0,Работает
50,Мужской,45.6,Среднее специальное,Село,1,Работает
39,Мужской,62.4,Среднее специальное,Село,1,Работает
45,Мужской,66.8,Среднее специальное,Село,0,Работает
41,Женский,58.2,Магистратура,Город,1,Работает
48,Женский,64.9,Среднее специальное,Село,0,Работает
47,Женский,61.2,Среднее специальное,Город,1,Безработный
52,Мужской,46.4,Высшее,Село,0,Безработный
41,Женский,57.0,Среднее,Село,5,Студент
43,Женский,63.5,Среднее специальное,Город,4,Безработный
38,Женский,60.3,Среднее специальное,Город,3,Работает
41,Женский,68.3,Высшее,Село,1,Пенсионер
47,Женский,64.1,Магистратура,Город,1,Пенсионер
50,Мужской,60.3,Высшее,Город,0,Работает
38,Мужской,65.1,Среднее специальное,Село,1,Работает
51,Женский,55.1,Высшее,Город,3,Студент
54,Женский,43.8,Среднее,Село,2,Работает
47,Женский,51.1,Среднее,Город,0,Студент
58,Мужской,47.8,Среднее специальное,Город,1,Работает
39,Мужской,39.4,Среднее специальное,Село,3,Работает
36,Женский,45.8,Высшее,Город,2,Работает
32,Мужской,34.1,Высшее,Город,1,Работает
55,Мужской,52.9,Магистратура,Село,2,Пенсионер
49,Женский,26.1,Высшее,Город,1,Студент
44,Мужской,55.2,Высшее,Город,2,Работает
46,Мужской,53.0,Среднее,Город,2,Работает
37,Женский,36.2,Среднее,Село,0,Пенсионер
62,Мужской,70.9,Высшее,Село,2,Пенсионер
45,Мужской,66.6,Среднее специальное,Село,1,Работает
45,Женский,28.4,Высшее,Город,1,Работает
50,Мужской,43.6,Среднее,Село,2,Безработный
48,Мужской,42.5,Среднее,Город,1,Пенсионер
46,Женский,38.9,Среднее специальное,Город,1,Работает
39,Женский,61.9,Среднее специальное,Город,0,Работает
48,Женский,51.1,Среднее,Село,1,Студент
58,Мужской,55.0,Высшее,Село,2,Безработный
54,Женский,26.9,Среднее,Город,1,Работает
56,Мужской,67.5,Высшее,Город,3,Работает
41,Женский,31.9,Среднее специальное,Село,2,Безработный
38,Мужской,49.9,Среднее,Город,0,Работает
44,Женский,56.2,Среднее специальное,Село,0,Работает
45,Женский,72.9,Высшее,Город,2,Работает
52,Женский,36.4,Среднее специальное,Город,3,Работает
33,Женский,15.0,Высшее,Город,0,Работает
55,Мужской,60.3,Среднее,Город,2,Работает
43,Женский,78.5,Высшее,Село,2,Безработный
42,Женский,69.6,Среднее специальное,Город,2,Работает
37,Мужской,51.6,Высшее,Село,0,Работает
33,Женский,39.1,Высшее,Город,2,Работает
50,Мужской,67.1,Магистратура,Город,2,Студент
45,Женский,37.9,Среднее специальное,Город,0,Пенсионер
35,Женский,54.6,Среднее,Город,0,Работает
35,Женский,55.1,Среднее,Село,1,Пенсионер
42,Мужской,66.9,Высшее,Город,1,Работает
56,Женский,99.4,Высшее,Город,1,Студент
43,Женский,57.4,Высшее,Город,1,Работает
34,Женский,39.4,Среднее специальное,Город,2,Безработный
43,Мужской,51.1,Среднее специальное,Город,3,Работает
43,Мужской,25.0,Среднее,Село,1,Работает
26,Женский,32.6,Магистратура,Город,3,Студент
44,Мужской,45.9,Высшее,Город,2,Работает
43,Женский,43.6,Магистратура,Город,3,Работает
49,Женский,56.8,Среднее специальное,Село,2,Работает
57,Женский,46.2,Высшее,Город,4,Безработный
52,Женский,72.8,Высшее,Город,2,Работает
43,Женский,51.5,Среднее специальное,Город,1,Работает
37,Женский,48.4,Высшее,Город,1,Студент
63,Женский,56.6,Магистратура,Город,0,Пенсионер
45,Мужской,54.8,Магистратура,Город,1,Работает
45,Мужской,64.9,Высшее,Село,1,Студент
44,Мужской,39.0,Среднее специальное,Город,3,Работает
46,Мужской,43.1,Среднее специальное,Село,1,Работает
43,Мужской,46.9,Магистратура,Город,0,Работает
40,Мужской,29.8,Среднее,Город,2,Пенсионер
41,Мужской,38.2,Высшее,Город,0,Работает
44,Женский,44.9,Высшее,Город,0,Студент
41,Женский,63.6,Высшее,Село,2,Пенсионер
40,Женский,53.9,Магистратура,Город,2,Работает
45,Женский,55.4,Среднее специальное,Город,1,Безработный
62,Мужской,73.8,Среднее специальное,Город,1,Пенсионер
77,Мужской,66.4,Среднее,Село,0,Пенсионер
43,Женский,57.4,Среднее специальное,Город,1,Пенсионер
73,Женский,65.0,Среднее специальное,Село,1,Пенсионер
74,Мужской,71.0,Среднее специальное,Город,1,Пенсионер
48,Женский,45.3,Высшее,Город,4,Работает
62,Женский,24.4,Магистратура,Город,2,Пенсионер
62,Женский,59.0,Среднее,Город,2,Пенсионер
53,Женский,77.8,Среднее специальное,Город,1,Работает
58,Мужской,72.9,Магистратура,Город,5,Работает
56,Женский,72.5,Среднее,Село,1,Безработный
79,Женский,88.0,Среднее,Село,3,Пенсионер
72,Мужской,67.3,Среднее,Село,1,Пенсионер
75,Мужской,70.5,Высшее,Город,2,Пенсионер
70,Женский,55.7,Среднее,Город,2,Пенсионер
55,Мужской,52.8,Магистратура,Город,0,Работает
60,Женский,69.2,Среднее специальное,Село,1,Работает
68,Женский,82.1,Высшее,Село,3,Пенсионер
55,Мужской,55.4,Среднее специальное,Город,2,Работает
70,Женский,58.2,Среднее специальное,Город,2,Пенсионер
63,Женский,61.5,Высшее,Город,2,Пенсионер
62,Женский,70.0,Высшее,Город,0,Пенсионер
70,Женский,43.3,Высшее,Город,4,Пенсионер
68,Мужской,29.6,Высшее,Город,0,Пенсионер
62,Мужской,52.7,Магистратура,Село,2,Пенсионер
74,Женский,48.7,Высшее,Город,1,Пенсионер
56,Мужской,50.4,Высшее,Город,0,Студент
69,Женский,62.3,Среднее,Село,0,Пенсионер
69,Женский,57.7,Среднее,Город,2,Пенсионер
62,Женский,82.8,Среднее специальное,Город,2,Пенсионер
67,Женский,68.4,Высшее,Город,0,Пенсионер
54,Женский,61.5,Среднее специальное,Город,0,Работает
72,Мужской,75.3,Среднее специальное,Город,2,Пенсионер
63,Женский,44.4,Магистратура,Село,2,Пенсионер
60,Мужской,75.6,Магистратура,Город,1,Работает
73,Мужской,65.4,Магистратура,Город,2,Пенсионер
59,Женский,69.6,Среднее специальное,Город,1,Работает
53,Женский,40.4,Высшее,Город,3,Работает
52,Женский,32.7,Среднее специальное,Село,1,Работает
69,Женский,76.8,Среднее,Село,1,Пенсионер
54,Женский,62.6,Среднее,Город,5,Работает
79,Мужской,56.0,Среднее специальное,Село,1,Пенсионер
48,Женский,41.0,Среднее специальное,Город,1,Работает
78,Женский,85.9,Высшее,Село,2,Пенсионер
66,Мужской,45.2,Среднее,Город,0,Пенсионер
64,Мужской,86.6,Высшее,Село,1,Пенсионер
60,Женский,46.5,Высшее,Село,0,Работает
68,Мужской,73.6,Среднее специальное,Город,0,Пенсионер
64,Женский,57.1,Среднее специальное,Город,1,Пенсионер
73,Мужской,75.5,Среднее специальное,Село,3,Пенсионер
65,Мужской,54.3,Высшее,Село,2,Пенсионер
66,Женский,60.6,Среднее специальное,Город,0,Пенсионер
62,Мужской,61.6,Среднее,Село,2,Пенсионер
64,Мужской,47.0,Среднее,Город,1,Пенсионер
67,Мужской,74.6,Высшее,Город,3,Пенсионер
51,Мужской,47.8,Магистратура,Город,2,Работает
54,Мужской,53.6,Среднее специальное,Город,1,Работает
70,Мужской,50.1,Высшее,Село,0,Пенсионер
66,Женский,24.6,Высшее,Город,3,Пенсионер
63,Женский,58.6,Магистратура,Село,3,Пенсионер
65,Мужской,98.7,Высшее,Город,2,Пенсионер
67,Женский,75.3,Высшее,Город,2,Пенсионер
60,Женский,59.7,Высшее,Город,0,Безработный
58,Женский,55.1,Магистратура,Город,0,Пенсионер
66,Мужской,63.3,Среднее специальное,Город,1,Пенсионер
57,Женский,66.7,Среднее специальное,Город,1,Работает
68,Мужской,46.3,Среднее,Город,1,Пенсионер
51,Женский,72.2,Высшее,Город,1,Работает
73,Мужской,77.2,Высшее,Город,2,Пенсионер
68,Мужской,74.8,Среднее,Город,1,Пенсионер
67,Женский,70.1,Высшее,Село,2,Пенсионер
72,Женский,66.3,Среднее специальное,Село,0,Пенсионер
78,Мужской,79.1,Среднее,Город,2,Пенсионер
73,Женский,75.4,Магистратура,Город,1,Пенсионер
50,Женский,49.7,Среднее специальное,Город,1,Работает
54,Женский,48.4,Среднее,Село,3,Пенсионер
60,Мужской,61.5,Высшее,Город,1,Работает
65,Мужской,85.7,Высшее,Город,2,Пенсионер
69,Женский,45.9,Среднее,Город,0,Пенсионер
59,Женский,37.5,Высшее,Город,1,Безработный
66,Женский,65.5,Высшее,Город,1,Пенсионер
58,Мужской,59.8,Среднее,Село,1,Работает
60,Мужской,62.6,Среднее,Город,2,Работает
53,Женский,60.2,Высшее,Город,1,Безработный
57,Женский,55.2,Среднее специальное,Город,2,Безработный
54,Женский,79.3,Магистратура,Город,2,Работает
57,Женский,34.5,Высшее,Село,2,Работает
73,Женский,54.1,Магистратура,Город,1,Пенсионер
57,Женский,57.0,Среднее специальное,Село,1,Безработный
86,Мужской,48.4,Магистратура,Город,0,Пенсионер
68,Женский,61.4,Среднее специальное,Город,1,Пенсионер
66,Мужской,87.9,Среднее специальное,Село,0,Пенсионер
58,Женский,59.3,Среднее,Город,1,Пенсионер
70,Женский,68.5,Среднее,Село,2,Пенсионер
60,Мужской,41.1,Высшее,Город,1,Студент
65,Мужской,53.3,Среднее специальное,Село,0,Пенсионер
85,Мужской,66.9,Среднее специальное,Город,1,Пенсионер
64,Мужской,57.2,Высшее,Город,2,Пенсионер
74,Женский,86.2,Среднее специальное,Село,2,Пенсионер
59,Мужской,67.9,Высшее,Село,0,Работает
64,Женский,45.3,Среднее специальное,Село,2,Пенсионер
79,Мужской,73.2,Высшее,Село,2,Пенсионер
59,Женский,67.0,Высшее,Село,1,Пенсионер
79,Женский,86.6,Среднее специальное,Город,0,Пенсионер
70,Женский,88.7,Среднее специальное,Город,1,Пенсионер
60,Женский,44.8,Среднее специальное,Город,2,Пенсионер
70,Женский,52.8,Высшее,Город,2,Пенсионер
72,Женский,47.1,Среднее специальное,Город,3,Пенсионер
69,Мужской,61.0,Среднее специальное,Город,2,Пенсионер
52,Женский,63.0,Среднее,Город,1,Безработный
59,Мужской,74.3,Среднее специальное,Город,0,Работает
63,Мужской,60.4,Среднее специальное,Город,2,Пенсионер
64,Женский,57.2,Высшее,Город,0,Пенсионер
69,Мужской,66.8,Среднее специальное,Город,2,Пенсионер
66,Женский,50.5,Среднее специальное,Село,4,Пенсионер
54,Мужской,88.3,Высшее,Село,2,Работает
68,Женский,39.9,Высшее,Город,0,Пенсионер
69,Мужской,67.3,Среднее специальное,Город,2,Пенсионер
69,Женский,94.9,Среднее специальное,Город,1,Пенсионер
73,Женский,66.6,Среднее специальное,Город,1,Пенсионер
71,Женский,62.6,Магистратура,Город,2,Пенсионер
68,Женский,58.6,Среднее,Город,3,Пенсионер
64,Мужской,59.3,Магистратура,Город,0,Пенсионер
51,Женский,76.1,Высшее,Город,4,Работает
68,Мужской,30.8,Высшее,Село,1,Пенсионер
66,Мужской,86.0,Среднее,Село,0,Пенсионер
67,Мужской,42.1,Среднее специальное,Город,0,Пенсионер
54,Женский,53.0,Среднее специальное,Город,2,Работает
56,Мужской,51.6,Среднее,Город,0,Пенсионер
73,Мужской,75.3,Высшее,Город,4,Пенсионер
64,Мужской,38.0,Магистратура,Село,1,Пенсионер
70,Женский,71.9,Высшее,Город,0,Пенсионер
65,Женский,92.9,Высшее,Село,3,Пенсионер
65,Мужской,42.1,Среднее,Город,1,Пенсионер
72,Женский,68.8,Среднее специальное,Село,1,Пенсионер
60,Женский,50.1,Среднее,Город,1,Работает
65,Мужской,68.9,Высшее,Село,1,Пенсионер
61,Мужской,60.8,Магистратура,Город,2,Пенсионер
61,Женский,50.9,Высшее,Город,0,Пенсионер
62,Мужской,68.3,Среднее,Город,2,Пенсионер
66,Женский,90.1,Среднее специальное,Город,4,Пенсионер
61,Женский,57.6,Высшее,Село,0,Пенсионер
75,Женский,78.3,Среднее специальное,Село,2,Пенсионер
57,Женский,39.1,Высшее,Село,1,Пенсионер
63,Женский,47.2,Высшее,Город,2,Пенсионер
61,Женский,67.6,Высшее,Село,1,Пенсионер
76,Мужской,90.3,Среднее специальное,Город,2,Пенсионер
66,Мужской,68.3,Среднее специальное,Город,2,Пенсионер
73,Женский,61.8,Среднее,Город,0,Пенсионер
53,Женский,56.5,Среднее специальное,Город,3,Работает
67,Женский,44.7,Среднее специальное,Город,0,Пенсионер
72,Мужской,75.1,Высшее,Город,3,Пенсионер
65,Женский,75.7,Высшее,Город,2,Пенсионер
73,Мужской,59.7,Среднее,Село,1,Пенсионер
60,Женский,52.9,Среднее специальное,Город,5,Работает
76,Женский,72.0,Среднее,Город,0,Пенсионер
83,Мужской,64.9,Среднее,Город,1,Пенсионер
62,Мужской,60.0,Высшее,Город,1,Пенсионер
61,Женский,92.0,Среднее,Город,0,Пенсионер
76,Женский,64.3,Среднее специальное,Город,1,Пенсионер
77,Женский,63.1,Среднее,Город,1,Пенсионер
60,Мужской,50.3,Магистратура,Город,1,Пенсионер
61,Мужской,71.7,Высшее,Город,2,Пенсионер
62,Мужской,58.3,Среднее специальное,Село,2,Пенсионер
54,Мужской,47.3,Высшее,Город,1,Безработный
57,Мужской,78.3,Высшее,Город,1,Работает
56,Мужской,79.3,Магистратура,Село,2,Работает
58,Женский,50.0,Среднее специальное,Город,0,Работает
64,Женский,34.0,Магистратура,Город,0,Пенсионер
66,Мужской,78.1,Магистратура,Село,2,Пенсионер
77,Женский,58.2,Магистратура,Город,1,Пенсионер
57,Женский,70.4,Высшее,Город,1,Пенсионер
72,Мужской,36.4,Высшее,Город,1,Пенсионер
63,Женский,74.9,Среднее специальное,Город,0,Пенсионер
64,Мужской,43.8,Высшее,Город,0,Пенсионер
70,Мужской,76.0,Высшее,Город,2,Пенсионер
56,Женский,58.2,Высшее,Город,0,Работает
68,Мужской,49.7,Среднее специальное,Город,0,Пенсионер
66,Мужской,56.9,Высшее,Город,1,Пенсионер
68,Мужской,74.3,Высшее,Город,3,Пенсионер
67,Мужской,65.1,Среднее,Город,0,Пенсионер
84,Мужской,80.8,Высшее,Город,3,Пенсионер
59,Мужской,89.1,Высшее,Город,3,Пенсионер
60,Мужской,36.5,Высшее,Село,2,Пенсионер
60,Мужской,84.3,Среднее специальное,Город,1,Работает
60,Женский,61.6,Среднее специальное,Город,1,Работает
59,Женский,46.0,Магистратура,Город,2,Работает
74,Женский,47.0,Среднее специальное,Город,1,Пенсионер
76,Мужской,65.2,Высшее,Село,3,Пенсионер
60,Мужской,73.8,Среднее специальное,Город,1,Пенсионер
58,Женский,57.1,Высшее,Село,1,Работает
68,Женский,86.7,Среднее специальное,Город,1,Пенсионер
60,Женский,38.2,Высшее,Село,3,Работает
70,Мужской,64.8,Среднее специальное,Город,2,Пенсионер
66,Женский,44.2,Среднее,Село,0,Пенсионер
52,Женский,61.5,Среднее специальное,Город,3,Пенсионер
77,Мужской,81.8,Среднее,Город,2,Пенсионер
79,Женский,63.2,Магистратура,Город,2,Пенсионер
60,Мужской,20.9,Магистратура,Город,3,Работает
61,Мужской,63.5,Среднее специальное,Село,2,Пенсионер
67,Мужской,70.1,Высшее,Город,1,Пенсионер
67,Женский,69.6,Среднее специальное,Город,3,Пенсионер
70,Женский,83.5,Высшее,Село,3,Пенсионер
81,Мужской,54.4,Высшее,Город,1,Пенсионер
63,Женский,71.7,Магистратура,Село,3,Пенсионер
58,Женский,76.9,Среднее специальное,Село,2,Работает
53,Женский,29.8,Высшее,Город,2,Работает
59,Женский,64.3,Среднее специальное,Село,2,Работает
64,Мужской,54.4,Магистратура,Город,2,Пенсионер
79,Женский,68.3,Среднее,Город,4,Пенсионер
60,Мужской,65.2,Высшее,Город,1,Пенсионер
66,Мужской,55.7,Высшее,Город,1,Пенсионер
64,Женский,51.9,Высшее,Село,1,Пенсионер
74,Мужской,67.5,Среднее,Село,2,Пенсионер
85,Женский,56.2,Магистратура,Город,0,Пенсионер
60,Женский,43.7,Среднее,Город,1,Работает
61,Мужской,70.7,Высшее,Село,0,Пенсионер
73,Мужской,49.3,Среднее специальное,Город,4,Пенсионер
70,Мужской,75.0,Среднее специальное,Город,2,Пенсионер
79,Мужской,76.4,Высшее,Город,4,Пенсионер
69,Женский,38.6,Среднее специальное,Село,2,Пенсионер
62,Женский,50.8,Среднее,Город,1,Пенсионер
69,Женский,82.4,Среднее,Село,1,Пенсионер
73,Мужской,51.8,Среднее специальное,Село,3,Пенсионер
71,Мужской,58.5,Высшее,Город,3,Пенсионер
69,Мужской,71.4,Магистратура,Город,1,Пенсионер
73,Женский,78.3,Среднее,Село,0,Пенсионер
74,Мужской,63.2,Среднее специальное,Город,2,Пенсионер
76,Женский,59.0,Среднее,Село,3,Пенсионер
70,Мужской,86.3,Среднее,Село,2,Пенсионер
63,Женский,87.6,Высшее,Город,0,Пенсионер
66,Женский,77.7,Высшее,Село,0,Пенсионер
74,Мужской,68.3,Среднее,Село,2,Пенсионер
58,Мужской,46.9,Среднее специальное,Село,0,Работает
67,Женский,51.0,Среднее,Город,1,Пенсионер
61,Женский,68.3,Высшее,Город,1,Пенсионер
65,Мужской,68.8,Магистратура,Город,0,Пенсионер
75,Мужской,88.5,Среднее,Город,1,Пенсионер
66,Женский,72.8,Среднее специальное,Город,1,Пенсионер
65,Мужской,40.0,Магистратура,Село,2,Пенсионер
54,Женский,72.8,Магистратура,Город,2,Работает
70,Женский,50.0,Среднее специальное,Город,0,Пенсионер
70,Мужской,59.2,Среднее,Город,3,Пенсионер
82,Мужской,74.8,Среднее,Село,0,Пенсионер
62,Мужской,90.9,Высшее,Город,1,Пенсионер
66,Мужской,109.6,Среднее специальное,Город,2,Пенсионер
66,Мужской,72.1,Среднее,Город,3,Пенсионер
77,Женский,65.8,Высшее,Село,0,Пенсионер
64,Женский,70.0,Среднее,Город,1,Пенсионер
67,Мужской,76.8,Высшее,Город,1,Пенсионер
69,Мужской,59.7,Среднее специальное,Село,1,Пенсионер
66,Мужской,89.9,Среднее,Село,1,Пенсионер
61,Женский,64.0,Высшее,Село,1,Пенсионер
66,Мужской,70.5,Среднее специальное,Город,1,Пенсионер
73,Мужской,76.5,Магистратура,Город,3,Пенсионер
56,Женский,64.3,Высшее,Село,0,Работает
66,Женский,75.6,Среднее специальное,Город,2,Пенсионер
59,Мужской,50.2,Высшее,Село,1,Работает
74,Мужской,58.6,Среднее специальное,Город,1,Пенсионер
52,Мужской,39.5,Магистратура,Город,3,Пенсионер
60,Женский,66.6,Среднее специальное,Город,2,Работает
68,Мужской,75.7,Высшее,Город,0,Пенсионер
77,Мужской,75.4,Среднее,Город,0,Пенсионер
64,Мужской,87.1,Среднее специальное,Город,0,Пенсионер
60,Женский,59.9,Высшее,Село,1,Работает
80,Женский,80.0,Высшее,Город,1,Пенсионер
53,Мужской,40.1,Среднее специальное,Город,3,Работает
47,Мужской,47.7,Среднее специальное,Село,1,Работает
68,Женский,74.4,Высшее,Город,1,Пенсионер
60,Женский,72.7,Магистратура,Город,2,Работает
56,Женский,53.6,Среднее,Село,2,Студент
70,Женский,63.9,Среднее специальное,Город,1,Пенсионер
66,Женский,40.2,Среднее специальное,Село,3,Пенсионер
60,Женский,54.6,Магистратура,Село,0,Работает
54,Женский,70.4,Среднее,Село,2,Работает
71,Женский,74.1,Среднее специальное,Город,3,Пенсионер
70,Женский,72.5,Высшее,Город,3,Пенсионер
64,Мужской,62.7,Среднее,Город,2,Пенсионер
79,Мужской,69.6,Среднее специальное,Город,2,Пенсионер
56,Мужской,48.1,Среднее специальное,Село,3,Работает
52,Женский,66.5,Среднее специальное,Город,1,Работает
59,Мужской,65.8,Среднее специальное,Город,0,Работает
64,Женский,69.4,Высшее,Село,1,Пенсионер
66,Женский,55.1,Среднее,Город,1,Пенсионер
63,Мужской,29.2,Высшее,Город,1,Пенсионер
67,Женский,80.0,Высшее,Город,3,Пенсионер
54,Мужской,49.8,Высшее,Село,0,Работает
76,Мужской,55.1,Среднее,Город,2,Пенсионер
64,Мужской,72.4,Среднее,Село,1,Пенсионер
73,Женский,60.6,Среднее специальное,Город,2,Пенсионер
67,Мужской,79.4,Среднее специальное,Село,0,Пенсионер
68,Женский,73.3,Среднее специальное,Село,0,Пенсионер
69,Мужской,74.8,Высшее,Город,2,Пенсионер
68,Мужской,43.5,Среднее,Город,0,Пенсионер
70,Мужской,83.2,Среднее,Город,2,Пенсионер
75,Женский,71.4,Среднее специальное,Село,1,Пенсионер
66,Женский,57.5,Высшее,Город,2,Пенсионер
70,Женский,67.2,Среднее,Город,2,Пенсионер
64,Мужской,35.4,Высшее,Город,1,Пенсионер
76,Мужской,74.1,Среднее специальное,Город,2,Пенсионер
59,Женский,44.1,Магистратура,Город,0,Работает
79,Женский,49.2,Магистратура,Город,0,Пенсионер
64,Женский,39.2,Среднее специальное,Город,1,Пенсионер
53,Женский,73.2,Среднее специальное,Село,2,Студент
66,Женский,53.6,Среднее специальное,Город,1,Пенсионер
59,Женский,82.5,Среднее специальное,Город,0,Работает
71,Мужской,57.5,Высшее,Село,1,Пенсионер
59,Женский,33.9,Высшее,Село,1,Студент
61,Мужской,43.8,Высшее,Село,1,Пенсионер
49,Мужской,73.0,Высшее,Город,0,Работает
61,Женский,58.2,Среднее специальное,Город,0,Пенсионер
45,Женский,44.3,Среднее,Город,1,Работает
52,Мужской,58.4,Высшее,Село,1,Работает
71,Женский,73.0,Среднее специальное,Город,0,Пенсионер
71,Женский,82.3,Высшее,Город,1,Пенсионер
68,Мужской,85.7,Среднее специальное,Город,0,Пенсионер
57,Мужской,53.1,Среднее,Город,1,Работает
64,Мужской,42.1,Магистратура,Город,2,Пенсионер
64,Женский,55.8,Среднее,Город,1,Пенсионер
55,Мужской,61.4,Магистратура,Город,2,Работает
77,Женский,54.0,Магистратура,Город,4,Пенсионер
72,Мужской,51.6,Высшее,Село,1,Пенсионер
63,Мужской,66.7,Высшее,Село,1,Пенсионер
65,Мужской,61.8,Высшее,Село,2,Пенсионер
66,Женский,63.5,Магистратура,Село,2,Пенсионер
48,Женский,42.6,Среднее специальное,Город,1,Студент
63,Мужской,58.0,Среднее специальное,Город,1,Пенсионер
59,Мужской,45.6,Высшее,Город,2,Безработный
56,Мужской,71.4,Среднее специальное,Город,2,Пенсионер
62,Женский,76.5,Среднее специальное,Город,2,Пенсионер
79,Мужской,41.8,Среднее специальное,Город,0,Пенсионер
70,Женский,51.1,Высшее,Город,1,Пенсионер
60,Мужской,37.6,Магистратура,Город,2,Работает
69,Мужской,54.7,Среднее специальное,Город,3,Пенсионер
